,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,n_features,n_features,training_time,training_time
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,
baseline,0.9356,0.0004,0.9368,0.0003,0.9985,0.0002,0.9666,0.0002,0.706,0.0077,46.0,0.0,3.0699,0.2345
chi2,0.9341,0.0,0.9341,0.0,1.0,0.0,0.9659,0.0,0.6504,0.009,10.0,0.0,0.0421,0.003
l1,0.9356,0.0004,0.9368,0.0003,0.9985,0.0003,0.9666,0.0002,0.706,0.0077,43.4333,1.0063,0.2919,0.0123
mutual_info,0.9357,0.0004,0.9367,0.0003,0.9986,0.0002,0.9667,0.0002,0.6248,0.0091,10.0,0.0,0.1048,0.0102
rf_median,0.9356,0.0004,0.9368,0.0003,0.9985,0.0003,0.9666,0.0002,0.6943,0.0077,23.0,0.0,0.1074,0.0111
rf_topk,0.9357,0.0004,0.9368,0.0003,0.9986,0.0002,0.9667,0.0002,0.6757,0.0071,10.0,0.0,0.0338,0.0008
rfe,0.9342,0.0001,0.9343,0.0001,0.9999,0.0001,0.966,0.0,0.6366,0.0077,10.0,0.0,0.0426,0.003
rfecv,0.9356,0.0005,0.9367,0.0006,0.9986,0.0003,0.9666,0.0002,0.7007,0.0087,32.9333,4.9336,0.2011,0.0443
variance_threshold,0.9357,0.0003,0.9367,0.0003,0.9986,0.0002,0.9667,0.0002,0.7016,0.0077,43.0667,0.2537,2.8345,0.2627
