method,feature,frequency,frequency_pct
consensus,educational.model,0,0.0
consensus,age,5,1.0
consensus,PNA,5,1.0
consensus,online.test,1,0.2
consensus,english.evaluation,5,1.0
consensus,admission.rubric,5,1.0
consensus,FTE,5,1.0
consensus,scholarship.perc,5,1.0
consensus,loan.perc,0,0.0
consensus,total.scholarship.loan,5,1.0
consensus,average.first.period,5,1.0
consensus,failed.subject.first.period,0,0.0
consensus,dropped.subject.first.period,0,0.0
consensus,generation_codes,5,1.0
consensus,gender_codes,5,1.0
consensus,level_codes,4,0.8
consensus,max.degree.parents_codes,4,0.8
consensus,father.education.complete_codes,5,1.0
consensus,father.education.summary_codes,5,1.0
consensus,mother.education.complete_codes,5,1.0
consensus,mother.education.summary_codes,3,0.6
consensus,parents.exatec_codes,5,1.0
consensus,father.exatec_codes,5,1.0
consensus,mother.exatec_codes,5,1.0
consensus,tec.no.tec_codes,0,0.0
consensus,foreign_codes,0,0.0
consensus,zone_type_codes,0,0.0
consensus,first.generation_codes,5,1.0
consensus,general.math.eval_codes,5,1.0
consensus,school_codes,5,1.0
consensus,program_codes,5,1.0
consensus,region_codes,5,1.0
consensus,admission.test_codes,5,1.0
consensus,scholarship.type_codes,5,1.0
consensus,school.cost_codes,5,1.0
consensus,socioeconomic.level_codes,3,0.6
consensus,social.lag_codes,2,0.4
consensus,physical.education_codes,0,0.0
consensus,cultural.diffusion_codes,4,0.8
consensus,student.society_codes,5,1.0
consensus,total.life.activities_codes,5,1.0
consensus,athletic.sports_codes,2,0.4
consensus,art.culture_codes,2,0.4
consensus,student.society.leadership_codes,0,0.0
consensus,life.work.mentoring_codes,4,0.8
consensus,wellness.activities_codes,5,1.0
baseline,educational.model,5,1.0
baseline,age,5,1.0
baseline,PNA,5,1.0
baseline,online.test,5,1.0
baseline,english.evaluation,5,1.0
baseline,admission.rubric,5,1.0
baseline,FTE,5,1.0
baseline,scholarship.perc,5,1.0
baseline,loan.perc,5,1.0
baseline,total.scholarship.loan,5,1.0
baseline,average.first.period,5,1.0
baseline,failed.subject.first.period,5,1.0
baseline,dropped.subject.first.period,5,1.0
baseline,generation_codes,5,1.0
baseline,gender_codes,5,1.0
baseline,level_codes,5,1.0
baseline,max.degree.parents_codes,5,1.0
baseline,father.education.complete_codes,5,1.0
baseline,father.education.summary_codes,5,1.0
baseline,mother.education.complete_codes,5,1.0
baseline,mother.education.summary_codes,5,1.0
baseline,parents.exatec_codes,5,1.0
baseline,father.exatec_codes,5,1.0
baseline,mother.exatec_codes,5,1.0
baseline,tec.no.tec_codes,5,1.0
baseline,foreign_codes,5,1.0
baseline,zone_type_codes,5,1.0
baseline,first.generation_codes,5,1.0
baseline,general.math.eval_codes,5,1.0
baseline,school_codes,5,1.0
baseline,program_codes,5,1.0
baseline,region_codes,5,1.0
baseline,admission.test_codes,5,1.0
baseline,scholarship.type_codes,5,1.0
baseline,school.cost_codes,5,1.0
baseline,socioeconomic.level_codes,5,1.0
baseline,social.lag_codes,5,1.0
baseline,physical.education_codes,5,1.0
baseline,cultural.diffusion_codes,5,1.0
baseline,student.society_codes,5,1.0
baseline,total.life.activities_codes,5,1.0
baseline,athletic.sports_codes,5,1.0
baseline,art.culture_codes,5,1.0
baseline,student.society.leadership_codes,5,1.0
baseline,life.work.mentoring_codes,5,1.0
baseline,wellness.activities_codes,5,1.0
chi2,educational.model,0,0.0
chi2,age,0,0.0
chi2,PNA,5,1.0
chi2,online.test,5,1.0
chi2,english.evaluation,0,0.0
chi2,admission.rubric,0,0.0
chi2,FTE,0,0.0
chi2,scholarship.perc,5,1.0
chi2,loan.perc,0,0.0
chi2,total.scholarship.loan,5,1.0
chi2,average.first.period,0,0.0
chi2,failed.subject.first.period,0,0.0
chi2,dropped.subject.first.period,0,0.0
chi2,generation_codes,0,0.0
chi2,gender_codes,0,0.0
chi2,level_codes,5,1.0
chi2,max.degree.parents_codes,0,0.0
chi2,father.education.complete_codes,0,0.0
chi2,father.education.summary_codes,0,0.0
chi2,mother.education.complete_codes,0,0.0
chi2,mother.education.summary_codes,0,0.0
chi2,parents.exatec_codes,5,1.0
chi2,father.exatec_codes,5,1.0
chi2,mother.exatec_codes,5,1.0
chi2,tec.no.tec_codes,0,0.0
chi2,foreign_codes,0,0.0
chi2,zone_type_codes,0,0.0
chi2,first.generation_codes,5,1.0
chi2,general.math.eval_codes,0,0.0
chi2,school_codes,0,0.0
chi2,program_codes,0,0.0
chi2,region_codes,0,0.0
chi2,admission.test_codes,0,0.0
chi2,scholarship.type_codes,0,0.0
chi2,school.cost_codes,0,0.0
chi2,socioeconomic.level_codes,0,0.0
chi2,social.lag_codes,0,0.0
chi2,physical.education_codes,0,0.0
chi2,cultural.diffusion_codes,0,0.0
chi2,student.society_codes,0,0.0
chi2,total.life.activities_codes,0,0.0
chi2,athletic.sports_codes,1,0.2
chi2,art.culture_codes,0,0.0
chi2,student.society.leadership_codes,0,0.0
chi2,life.work.mentoring_codes,0,0.0
chi2,wellness.activities_codes,4,0.8
l1,educational.model,5,1.0
l1,age,5,1.0
l1,PNA,5,1.0
l1,online.test,5,1.0
l1,english.evaluation,5,1.0
l1,admission.rubric,5,1.0
l1,FTE,5,1.0
l1,scholarship.perc,5,1.0
l1,loan.perc,5,1.0
l1,total.scholarship.loan,0,0.0
l1,average.first.period,5,1.0
l1,failed.subject.first.period,5,1.0
l1,dropped.subject.first.period,5,1.0
l1,generation_codes,5,1.0
l1,gender_codes,5,1.0
l1,level_codes,4,0.8
l1,max.degree.parents_codes,4,0.8
l1,father.education.complete_codes,5,1.0
