,accuracy,accuracy,precision,precision,recall,recall,f1,f1,roc_auc,roc_auc,n_features,n_features,training_time,training_time
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,
baseline,0.9357,0.0004,0.9368,0.0003,0.9985,0.0002,0.9667,0.0002,0.7068,0.0081,46.0,0.0,3.488,0.7581
chi2,0.9341,0.0,0.9341,0.0,1.0,0.0,0.9659,0.0,0.6529,0.0093,10.0,0.0,0.0419,0.0023
l1,0.9357,0.0004,0.9368,0.0003,0.9985,0.0002,0.9667,0.0002,0.7068,0.0081,43.5333,1.0601,0.3377,0.0955
mutual_info,0.9358,0.0004,0.9368,0.0003,0.9986,0.0002,0.9667,0.0002,0.6277,0.0078,10.0,0.0,0.1057,0.0108
rf_median,0.9357,0.0003,0.9368,0.0003,0.9986,0.0002,0.9667,0.0002,0.696,0.0088,23.0,0.0,0.1021,0.0114
rf_topk,0.9358,0.0004,0.9368,0.0003,0.9986,0.0002,0.9667,0.0002,0.6768,0.0076,10.0,0.0,0.0337,0.0009
rfe,0.9342,0.0001,0.9343,0.0001,0.9999,0.0001,0.966,0.0001,0.6385,0.0085,10.0,0.0,0.042,0.0025
rfecv,0.9358,0.0003,0.9369,0.0003,0.9986,0.0002,0.9667,0.0002,0.7017,0.0104,31.9167,3.4761,0.1909,0.0324
variance_threshold,0.9358,0.0003,0.9368,0.0003,0.9986,0.0002,0.9667,0.0002,0.7025,0.0085,43.1667,0.3892,2.8764,0.1744
