method_1,method_2,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
baseline,chi2,0.0014998540101115825,22.863934888441733,4.2398083741351475e-20,1.526331014688653e-18,True,True,4.174364297242967,30
baseline,l1,6.146942664397858e-06,1.6820428926402795,0.10329970911254657,1.0,False,False,0.3070976116634405,30
baseline,mutual_info,-5.685921964565891e-05,-1.5436548111097772,0.13351536169506525,1.0,False,False,-0.28183152034873377,30
baseline,rf_median,-3.7007434154171884e-18,-1.6110213657458567e-13,0.9999999999998725,1.0,False,False,-2.9413091421392876e-14,30
baseline,rf_topk,-5.2249012647350344e-05,-1.9064186100489107,0.06654900206902777,1.0,False,False,-0.34806282559047774,30
baseline,rfe,0.0014522152044625924,22.44544012303656,7.046347036183457e-20,2.5366849330260444e-18,True,True,4.097957956172884,30
baseline,rfecv,7.683678330442737e-06,0.12641789241377221,0.9002735686709282,1.0,False,False,0.023080643782428086,30
baseline,variance_threshold,-2.3051034991476242e-05,-1.1903520952852342,0.24356138552069628,1.0,False,False,-0.2173275646537539,30
chi2,l1,-0.0014937070674471845,-22.369146121940883,7.737141513303617e-20,2.7853709447893025e-18,True,True,-4.084028641038743,30
chi2,mutual_info,-0.0015567132297572414,-21.810047091225776,1.5490268024576146e-19,5.5764964888474124e-18,True,True,-3.9819515907047642,30
chi2,rf_median,-0.0014998540101115862,-21.823270946786916,1.523523848281901e-19,5.484685853814844e-18,True,True,-3.984365925367439,30
chi2,rf_topk,-0.0015521030227589327,-22.825625033152864,4.4400792133732737e-20,1.5984285168143786e-18,True,True,-4.167369906604143,30
chi2,rfe,-4.763880564898996e-05,-2.974913636793907,0.005853839732248431,0.2107382303609435,True,False,-0.543142435167251,30
chi2,rfecv,-0.0014921703317811396,-16.251266764009678,4.1788630771641023e-16,1.5043907077790768e-14,True,True,-2.9670617982273617,30
chi2,variance_threshold,-0.0015229050451030586,-24.215479469602162,8.687301065858091e-21,3.127428383708913e-19,True,True,-4.421121448768114,30
l1,mutual_info,-6.300616231005677e-05,-1.6695536016136856,0.10576917291076623,1.0,False,False,-0.304817389522603,30
l1,rf_median,-6.146942664401559e-06,-0.25414164018142155,0.8011795030741845,1.0,False,False,-0.046399703042908635,30
l1,rf_topk,-5.83959553117482e-05,-2.008942997219653,0.05393342906397212,1.0,False,False,-0.3667811321064141,30
l1,rfe,0.0014460682617981947,21.93532582366485,1.324073718020397e-19,4.766665384873429e-18,True,True,4.004824253282276,30
l1,rfecv,1.5367356660448786e-06,0.02511146301527779,0.9801380590949745,1.0,False,False,0.004584704915141446,30
l1,variance_threshold,-2.91979776558741e-05,-1.4456963483818237,0.1589835485893035,1.0,False,False,-0.263946833770524,30
mutual_info,rf_median,5.685921964565521e-05,1.7315711056939231,0.0939769091140841,1.0,False,False,0.31614018483757467,30
mutual_info,rf_topk,4.610206998308571e-06,0.18129367626445705,0.8573982396325678,1.0,False,False,0.033099545341027346,30
mutual_info,rfe,0.0015090744241082513,21.943815263250464,1.3101070352758286e-19,4.716385326992983e-18,True,True,4.006374205802815,30
mutual_info,rfecv,6.454289797610165e-05,0.9702964830489472,0.3399224047433788,1.0,False,False,0.1771510904112792,30
mutual_info,variance_threshold,3.380818465418267e-05,1.031336828213693,0.310907923596653,1.0,False,False,0.18829548173282334,30
rf_median,rf_topk,-5.2249012647346645e-05,-2.226261195792454,0.033927263711738834,1.0,True,False,-0.4064578252779842,30
rf_median,rfe,0.0014522152044625961,21.663084014612664,1.8640006611141396e-19,6.7104023800109026e-18,True,True,3.9551199266443096,30
rf_median,rfecv,7.683678330446439e-06,0.11014011899679522,0.9130569319965643,1.0,False,False,0.020108742553616006,30
rf_median,variance_threshold,-2.3051034991472542e-05,-0.8821424562161782,0.38495350169669695,1.0,False,False,-0.16105644073420472,30
rf_topk,rfe,0.0015044642171099427,23.162161523009622,2.9671018587275146e-20,1.0681566691419053e-18,True,True,4.228812782243528,30
rf_topk,rfecv,5.993269097779308e-05,0.8948106852239143,0.3782553030092958,1.0,False,False,0.1633693323312642,30
rf_topk,variance_threshold,2.91979776558741e-05,1.0593392245492872,0.2981892983842839,1.0,False,False,0.19340799644522502,30
rfe,rfecv,-0.0014445315261321498,-16.234878552956445,4.290887809584654e-16,1.5447196114504754e-14,True,True,-2.9640697339370248,30
rfe,variance_threshold,-0.0014752662394540686,-24.338044817358632,7.554143555297466e-21,2.7194916799070877e-19,True,True,-4.443498717346341,30
rfecv,variance_threshold,-3.0734713321918976e-05,-0.5093051845592966,0.6143921114474428,1.0,False,False,-0.09298597941248618,30
