method_1,method_2,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
baseline,chi2,0.0006999459106673285,20.76442405352218,5.926114226319177e-19,2.1334011214749037e-17,True,True,3.791047815905652,30
baseline,l1,3.025147984555184e-06,1.6291659403312602,0.11409422492129395,1.0,False,False,0.2974436451461822,30
baseline,mutual_info,-3.3158333864384086e-05,-1.7524189629358229,0.09027040493636937,1.0,False,False,-0.31994646539992,30
baseline,rf_median,-1.5405562906467551e-06,-0.1288498427164163,0.8983659432428481,1.0,False,False,-0.023524655128924647,30
baseline,rf_topk,-2.9680320168549527e-05,-2.0958728190858293,0.04493402788622766,1.0,True,False,-0.3826522735584175,30
baseline,rfe,0.0006795068230112111,20.45139838310611,8.958654541290246e-19,3.225115634864488e-17,True,True,3.733897408983966,30
baseline,rfecv,4.426468008578155e-07,0.0152822348912061,0.987911671100984,1.0,False,False,0.00279014159300203,30
baseline,variance_threshold,-1.4576468095173212e-05,-1.4424430486428796,0.15989169816007526,1.0,False,False,-0.2633528652194089,30
chi2,l1,-0.0006969207626827733,-20.320978018775296,1.06593225656346e-18,3.837356123628456e-17,True,True,-3.7100860171499566,30
chi2,mutual_info,-0.0007331042445317126,-20.04903881481378,1.5363729906072116e-18,5.530942766185962e-17,True,True,-3.6604369383900495,30
chi2,rf_median,-0.0007014864669579753,-19.845075744100512,2.0268037236609886e-18,7.29649340517956e-17,True,True,-3.6231985468141565,30
chi2,rf_topk,-0.0007296262308358781,-20.948867261288964,4.657241027856555e-19,1.6766067700283598e-17,True,True,-3.824722384396479,30
chi2,rfe,-2.0439087656117423e-05,-2.494244009543434,0.018570567138055334,0.668540416969992,True,False,-0.4553845693163566,30
chi2,rfecv,-0.0006995032638664707,-15.262427471703818,2.1456174362064046e-15,7.724222770343057e-14,True,True,-2.7865252695129077,30
chi2,variance_threshold,-0.0007145223787625017,-22.18457460029204,9.713037080357322e-20,3.496693348928636e-18,True,True,-4.050330645745368,30
l1,mutual_info,-3.618348184893927e-05,-1.8659658233220864,0.07219022733928741,1.0,False,False,-0.3406771909890687,30
l1,rf_median,-4.565704275201939e-06,-0.3633834374613351,0.7189540758164504,1.0,False,False,-0.06634443524044703,30
l1,rf_topk,-3.270546815310471e-05,-2.1780098939517147,0.03768170136573931,1.0,True,False,-0.39764838312892964,30
l1,rfe,0.0006764816750266559,19.99487203170864,1.6532738944248132e-18,5.951786019929328e-17,True,True,3.650547482065324,30
l1,rfecv,-2.5825011836973686e-06,-0.08850115253746041,0.9300867174023194,1.0,False,False,-0.01615802586999088,30
l1,variance_threshold,-1.7601616079728397e-05,-1.6727737449317073,0.10512779624073036,1.0,False,False,-0.305405304567163,30
mutual_info,rf_median,3.161777757373733e-05,1.88383332272887,0.06964961972937334,1.0,False,False,0.3439393351461705,30
mutual_info,rf_topk,3.4780136958345585e-06,0.2696921297714548,0.7893069285114949,1.0,False,False,0.04923882101914546,30
mutual_info,rfe,0.0007126651568755952,20.24879029262064,1.1740692388002717e-18,4.226649259680978e-17,True,True,3.6969064018199864,30
mutual_info,rfecv,3.36009806652419e-05,1.0417518577050995,0.3061340839670568,1.0,False,False,0.190196997262665,30
mutual_info,variance_threshold,1.8581865769210874e-05,1.0971656084108747,0.2815961055292533,1.0,False,False,0.20031411768183863,30
rf_median,rf_topk,-2.813976387790277e-05,-2.326765526584754,0.027167846683495277,0.97804248060583,True,False,-0.4248073216452854,30
rf_median,rfe,0.0006810473793018579,19.77503204477369,2.2303714331319605e-18,8.029337159275058e-17,True,True,3.610410375436687,30
rf_median,rfecv,1.9832030915045706e-06,0.05884737403800299,0.9534773185028711,1.0,False,False,0.010744011403519374,30
rf_median,variance_threshold,-1.3035911804526457e-05,-0.9551702567263184,0.3473865675011384,1.0,False,False,-0.17438943195566844,30
rf_topk,rfe,0.0007091871431797607,21.321242189594486,2.8794995129404967e-19,1.0366198246585788e-17,True,True,3.892708433757246,30
rf_topk,rfecv,3.012296696940734e-05,0.9327798274766109,0.35863527993406635,1.0,False,False,0.17030151756490564,30
rf_topk,variance_threshold,1.5103852073376316e-05,1.050934481526395,0.3019677449342045,1.0,False,False,0.19187350733066766,30
rfe,rfecv,-0.0006790641762103533,-15.281337675791333,2.077909760931347e-15,7.480475139352849e-14,True,True,-2.78997778462816,30
rfe,variance_threshold,-0.0006940832911063843,-22.387184029726907,7.567746179749061e-20,2.724388624709662e-18,True,True,-4.0873218973669445,30
rfecv,variance_threshold,-1.5019114896031027e-05,-0.518259547247517,0.608209081985638,1.0,False,False,-0.09462081488995983,30
