method_1,method_2,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
baseline,chi2,0.002663050524412299,52.07412386281667,3.348916280683137e-30,1.2056098610459293e-28,True,True,9.507390767327582,30
baseline,l1,7.128416325430376e-06,2.368056707352324,0.024764059659049414,0.8915061477257789,True,False,0.43234602535609257,30
baseline,mutual_info,6.514884439820698e-05,2.3506927151305277,0.025750286688270927,0.9270103207777534,True,False,0.42917580861335186,30
baseline,rf_median,3.909301848829353e-05,2.6026352489113593,0.014424764584377204,0.5192915250375794,True,False,0.4751740115956081,30
baseline,rf_topk,3.981771052548044e-05,1.9309580883890753,0.06331637634428544,1.0,False,False,0.3525431008692503,30
baseline,rfe,0.0025357884294351374,49.82483750835875,1.1886663178217474e-29,4.279198744158291e-28,True,True,9.096729142452528,30
baseline,rfecv,9.183151806968493e-05,0.9544130871624591,0.3477630626837205,1.0,False,False,0.1742511923390077,30
baseline,variance_threshold,5.516148061435929e-05,3.849622760841602,0.0006008735295712303,0.021631447064564293,True,True,0.7028417413327537,30
chi2,l1,-0.0026559221080868687,-50.81461009866532,6.761401098336599e-30,2.4341043954011755e-28,True,True,-9.277436067289603,30
chi2,mutual_info,-0.002597901680014092,-48.1436690296075,3.179480009686724e-29,1.1446128034872207e-27,True,True,-8.78979117619296,30
chi2,rf_median,-0.0026239575059240055,-49.46241780023245,1.4654499266542256e-29,5.2756197359552125e-28,True,True,-9.030560659310792,30
chi2,rf_topk,-0.0026232328138868183,-48.24786853847087,2.9884883330334614e-29,1.0758557998920462e-27,True,True,-8.8088153166881,30
chi2,rfe,-0.00012726209497716153,-9.473715433339244,2.2176355637575041e-10,7.983488029527015e-09,True,True,-1.7296558820749113,30
chi2,rfecv,-0.002571219006342614,-25.315833035986596,2.5332799564316495e-21,9.119807843153938e-20,True,True,-4.62201760528145,30
chi2,variance_threshold,-0.0026078890437979396,-51.35925090225787,4.979576139545875e-30,1.792647410236515e-28,True,True,-9.376873418578063,30
l1,mutual_info,5.802042807277659e-05,2.0646373802744105,0.04800185664890505,1.0,True,False,0.3769494887482221,30
l1,rf_median,3.196460216286316e-05,2.0104201752313706,0.05376814466665429,1.0,False,False,0.3670508266792369,30
l1,rf_topk,3.268929420005007e-05,1.5312947402468498,0.13653361337882838,1.0,False,False,0.2795748904740712,30
l1,rfe,0.002528660013109707,48.47571752079973,2.6110642871533705e-29,9.399831433752134e-28,True,True,8.85041465913014,30
l1,rfecv,8.470310174425455e-05,0.8774614060889715,0.3874477579096744,1.0,False,False,0.16020180181837687,30
l1,variance_threshold,4.8033064288928916e-05,3.213656013835366,0.0032045968191884624,0.11536548549078465,True,False,0.5867306302799213,30
mutual_info,rf_median,-2.6055825909913435e-05,-0.972656697273629,0.33876756477313685,1.0,False,False,-0.17758200460174675,30
mutual_info,rf_topk,-2.5331133872726525e-05,-1.132722695472775,0.266609423225344,1.0,False,False,-0.20680592390283126,30
mutual_info,rfe,0.0024706395850369305,46.6720849907587,7.735914165058653e-29,2.7849290994211152e-27,True,True,8.521117918412276,30
mutual_info,rfecv,2.6682673671477956e-05,0.2786073026802991,0.7825232697154619,1.0,False,False,0.050866501454556456,30
mutual_info,variance_threshold,-9.98736378384768e-06,-0.4387471308518108,0.6640962580297618,1.0,False,False,-0.08010390020273585,30
rf_median,rf_topk,7.246920371869099e-07,0.04111738417729741,0.9674840994300442,1.0,False,False,0.007506972939837263,30
rf_median,rfe,0.002496695410946844,47.59171420129052,4.424117857557046e-29,1.5926824287205365e-27,True,True,8.68901847279526,30
rf_median,rfecv,5.2738499581391394e-05,0.5210690191188595,0.6062751586310032,1.0,False,False,0.09513375192949668,30
rf_median,variance_threshold,1.6068462126065756e-05,0.9809086073227165,0.334750801050086,1.0,False,False,0.179088590360543,30
rf_topk,rfe,0.0024959707189096568,47.91417633150334,3.645965829984571e-29,1.3125476987944455e-27,True,True,8.747891733681502,30
rf_topk,rfecv,5.2013807544204485e-05,0.5252355515512461,0.6034124329940458,1.0,False,False,0.09589445319609502,30
rf_topk,variance_threshold,1.5343770088878847e-05,1.018116095318747,0.31704189388673154,1.0,False,False,0.1858817171883858,30
rfe,rfecv,-0.0024439569113654525,-24.939948479622117,3.837769874375676e-21,1.3815971547752434e-19,True,True,-4.553390788435236,30
rfe,variance_threshold,-0.002480626948820778,-49.67606194916238,1.295093247093992e-29,4.6623356895383715e-28,True,True,-9.069566565860095,30
rfecv,variance_threshold,-3.667003745532564e-05,-0.38968112136681504,0.699619568158456,1.0,False,False,-0.07114571346883766,30
