method_1,method_2,mean_diff,t_statistic,p_value,p_value_bonferroni,significant_uncorrected,significant_bonferroni,cohens_d,n_runs
baseline,chi2,-0.0015414733655775873,-33.78908419390949,7.662793439156494e-25,2.758605638096338e-23,True,True,-6.169014536815165,30
baseline,l1,-1.6451156516272824e-06,-0.9999999999999998,0.3255819880161934,1.0,False,False,-0.18257418583505533,30
baseline,mutual_info,-0.000144770177343471,-6.089599596827105,1.2460260939951423e-06,4.485693938382512e-05,True,True,-1.1118036884521902,30
baseline,rf_median,-4.770835389729111e-05,-2.510716241532329,0.01787672671371103,0.6435621616935971,True,False,-0.45839197366061535,30
baseline,rf_topk,-0.00010857763300759308,-5.024400891305557,2.3702790978016894e-05,0.0008533004752086082,True,True,-0.9173259020390387,30
baseline,rfe,-0.0014394761951764849,-32.19190198003246,3.0124380914348535e-24,1.0844777129165473e-22,True,True,-5.877410294486334,30
baseline,rfecv,-0.00010364228605268903,-1.9659384200066683,0.05894475162489497,1.0,False,False,-0.35892960643457256,30
baseline,variance_threshold,-9.377159214292533e-05,-4.978802739280616,2.6905843272432884e-05,0.0009686103578075839,True,True,-0.909000856557502,30
chi2,l1,0.00153982824992596,33.54087708612625,9.440675394426897e-25,3.398643141993683e-23,True,True,6.123698326193166,30
chi2,mutual_info,0.0013967031882341162,34.126092248520315,5.785765210686069e-25,2.0828754758469849e-23,True,True,6.230543508005591,30
chi2,rf_median,0.0014937650116802963,30.768233518595896,1.0787190350257931e-23,3.883388526092855e-22,True,True,5.617485184240507,30
chi2,rf_topk,0.0014328957325699943,32.62551841853307,2.064370187879312e-24,7.431732676365524e-23,True,True,5.956577462710278,30
chi2,rfe,0.00010199717040110245,8.464199520443298,2.5102933157944855e-09,9.037055936860147e-08,True,True,1.5453443361904013,30
chi2,rfecv,0.0014378310795248983,25.127881795070703,3.115850955566221e-21,1.1217063440038395e-19,True,True,4.587702560494543,30
chi2,variance_threshold,0.001447701773434662,35.127397653883754,2.54955691712658e-25,9.178404901655688e-24,True,True,6.413356027162061,30
l1,mutual_info,-0.00014312506169184374,-5.921018249886349,1.978602871065827e-06,7.122970335836978e-05,True,True,-1.0810250862875046,30
l1,rf_median,-4.606323824566383e-05,-2.415725347132205,0.02223102433322372,0.800316875996054,True,False,-0.44104908845376883,30
l1,rf_topk,-0.00010693251735596579,-4.842495303617434,3.929548874755959e-05,0.0014146375949121452,True,True,-0.8841146374680322,30
l1,rfe,-0.0014378310795248575,-31.947769413719715,3.734652592706937e-24,1.3444749333744972e-22,True,True,-5.832837989955963,30
l1,rfecv,-0.00010199717040106174,-1.9316545574263198,0.06322665624779786,1.0,False,False,-0.3526702581366845,30
l1,variance_threshold,-9.212647649129806e-05,-4.838908559306502,3.968892428190919e-05,0.001428801274148731,True,True,-0.8834597905456656,30
mutual_info,rf_median,9.706182344617989e-05,4.78498919220416,4.6099402930908006e-05,0.0016595785055126882,True,True,0.8736155059962137,30
mutual_info,rf_topk,3.619254433587793e-05,2.795558041993154,0.009095904390444665,0.3274525580560079,True,False,0.5103967334715417,30
mutual_info,rfe,-0.0012947060178330138,-33.13361403762872,1.3337630221954077e-24,4.8015468799034676e-23,True,True,-6.049342606693024,30
mutual_info,rfecv,4.1127891290781984e-05,0.7570485649183328,0.45512802595116997,1.0,False,False,0.13821752537756168,30
mutual_info,variance_threshold,5.099858520054568e-05,2.1941126331664598,0.03638927520244899,1.0,True,False,0.4005883276307759,30
rf_median,rf_topk,-6.086927911030197e-05,-3.578078298232354,0.0012408023878502047,0.04466888596260737,True,True,-0.6532647321538525,30
rf_median,rfe,-0.0013917678412791938,-29.88229360921469,2.454642116319162e-23,8.836711618748983e-22,True,True,-5.45573542658645,30
rf_median,rfecv,-5.5933932155397916e-05,-1.0388413482797116,0.3074629716775477,1.0,False,False,-0.18966561337395957,30
rf_median,variance_threshold,-4.606323824563422e-05,-2.0192758336574785,0.052786566015332735,1.0,False,False,-0.3686676413064168,30
rf_topk,rfe,-0.0013308985621688918,-31.867976522806185,4.007758552582399e-24,1.4427930789296638e-22,True,True,-5.818269867861997,30
rf_topk,rfecv,4.935346954904052e-06,0.09125650438861944,0.9279162192854536,1.0,False,False,0.016661081990905355,30
rf_topk,variance_threshold,1.4806040864667746e-05,0.7077850612283864,0.48472875919080644,1.0,False,False,0.12922328129998747,30
rfe,rfecv,0.0013358339091237958,24.050819461037438,1.0492346596768673e-20,3.777244774836722e-19,True,True,4.391058781764816,30
rfe,variance_threshold,0.0013457046030335596,34.17346852297487,5.562865798743982e-25,2.0026316875478336e-23,True,True,6.239193192742029,30
rfecv,variance_threshold,9.870693909763695e-06,0.1745036463115411,0.8626822344482054,1.0,False,False,0.03185986115057808,30
